arch,identifier,trial,round,iterations,best_validation_loss,best_iteration,acc_at_best_iter,loss_at_best_iter,num_weights,percent_weights
lenet,1667345606,7,11,50000,0.102863543844575,1300,0.9817,0.091860973679609,23093,8.7
lenet,1667345606,7,12,50000,0.113237648194562,3800,0.9828,0.090323857654131,18506,7
lenet,1667345606,7,13,50000,0.106441737798854,2100,0.981,0.098473124716304,14834,5.6
lenet,1667345606,7,14,50000,0.123379385290935,1200,0.9799,0.095446027191821,11893,4.5
lenet,1667345606,7,15,50000,0.127346328609747,2100,0.98,0.105006976334502,9537,3.6
lenet,1667345606,7,16,50000,0.135588171062322,3700,0.978,0.112833487137344,7650,2.9
lenet,1667345606,7,17,50000,0.155983670270687,4300,0.9764,0.135937488476666,6139,2.3
lenet,1667345606,7,18,50000,0.157788004573983,6200,0.9767,0.139256860091745,4928,1.9
lenet,1667345606,7,19,50000,0.155060994451124,9100,0.9754,0.158018404325273,3958,1.5
lenet,1667345606,7,20,50000,0.187940154719451,7100,0.9734,0.179836413000308,3179,1.2
lenet,1667345606,7,21,50000,0.222816335021759,12000,0.9702,0.188546772352741,2556,1
lenet,1667345606,7,22,50000,0.194111970690539,44400,0.9666,0.179759690179174,2056,0.8
lenet,1667345606,7,23,50000,0.16524658583027,43800,0.9617,0.151568047981152,1655,0.6
lenet,1667345606,7,24,50000,0.169504474205453,42400,0.9553,0.167334631258276,1332,0.5
lenet,1667345606,7,25,50000,0.221808989576641,39900,0.9369,0.220047048030945,1074,0.4
lenet,1667345606,7,26,50000,0.333682746759483,49600,0.9053,0.32785990571012,866,0.3
lenet,1667345606,7,27,50000,0.482217693612689,44600,0.8555,0.476002561921131,700,0.3
lenet,1667392471,8,0,50000,0.075528323345463,4000,0.9774,0.071955065617985,266200,100
